id,art_id,name,rarity,life,effect,value,target,effect2,value2,target2,description,text,expansion,,耐久値メモ,枚数メモ,設定値 (effect),日本語説明,補足・デメリット
S001,S001,黄金の刻印,1,1,silence,1,enemy_unit_all,,,,"地殻が悲鳴を上げ、深淵から突き出した黄金の幾何学が既存の理を砕く。
祈りでも救済でもない。世界の外殻を内側から食い破る、物理超越の刻印。
砕け散る土壌を代価に、太古の魔導理がこの地を新たな神域へと書き換える。",【耐久1】全敵ユニットを「沈黙」にする。,basic,,,,,,
S002,S002,焦土の天陽,1,1,damage,5,enemy_unit_1,,,,"空に君臨する黄金の瞳。天陽の凝視は、世界を焦土へと変える。
逃げ場は存在しない。灼熱の奔流は、すべての命を平等に塵へと還す。
焦げ付いた大地で唯一許された行動は、その威光に灼かれることだ。",【耐久1】敵ユニット1体に5ダメージを与える。,basic,,,,,,
S003,S003,大地を薙ぐ穿風,1,1,damage_all_enemy,3,enemy_unit_all,,,,"白き咆哮が谷を埋め、理に逆らう有象無象を根こそぎ剥ぎ取る。
逃げ場なき真空の刃。穿風は、祈りさえも無価値な塵へと変える。
其は、ただ過ぎ去るだけの清算。残るのは削り取られた死の静寂だ",【耐久1】敵ユニット全員に3ダメージを与える。,basic,,,,,,
S004,S004,摩天楼への不時着,1,1,bounce,1,enemy_unit_1,,,,"澄み渡る午後の静寂を切り裂き、天からの剥き出しの意志が叩きつけられる。
地面が迫るのではない。世界が、その特異を飲み込もうとせり上がってくるのだ。
やがて人々は気づくだろう。この街の理は、もはや昨日のそれとは異なることを。",【耐久1】敵ユニット1体を手札に戻す。,basic,,,,,,
S005,S005,廃都を葬る巨蔓,1,2,bounce,1,enemy_unit_weakest,,,,"万楼を砕く巨蔓の蠢き。かつての繁栄を翠の檻が内側から食い破ってゆく。
傲慢な遺産を肥料とし、天へと這い昇る緑の牙。文明は、ただ土へと還るのみ。
祈りの声も、絶望の叫びも、この質量の下では、何の意味も持たなかった。",【耐久2】最もHPが低い敵ユニット1体を手札に戻す。,basic,,,,,,
S006,S006,水天の境界線,1,2,bounce,1,enemy_unit_frailest,,,,"空が溶け、海が逆巻く場所。そこは理が混じり合う、水と天の危うい境界線。
蒼き幾何学が世界の軸を固定し、荒れ狂う奔流をたった一つの意志に従わせる。
この中心に立つ者だけが、天地を反転させる禁忌の魔術を振るう権利を得る。",【耐久2】最もATKが低い敵ユニット1体を手札に戻す。,basic,,,,,,
S007,S007,魔導壁の瓦解,1,3,sp_loss,2,self,,,,"乾いた音と共に理が綻ぶ。因果の鎖は、一閃の雷鳴を前にして無力に散った。
漂う瓦礫は、かつての堅牢さを嘲笑う。石の厚みなど、真理の前では無に等しい。
物理の隔たりは、剥き出しの穿光に蹂躙され、あまりに脆く、あまりに儚い。",【耐久3】自身のSP-2。,basic,,,,,,
S008,S008,天威の霊豹,1,3,sp_gain,1,enemy,,,,"霊豹の斑紋は星々の運行。高潔な光が、物理の枠組みを内側から歪める。
咆哮は音なき穿光。天理を背負う獣が、不変の星殻を静かに踏み拉く。
影を消し去る眩き宣告。天威の歩みの先には、純白の終焉が横たわる。",【耐久3】対戦相手のSP+1。,basic,,,,,,
S009,S009,誓いの残り火,2,1,draw,3,self,,,,"焼き捨てたのは昨日までの悔恨だ。
掲げた槍の数だけ、この地平に『明日』という名の切実な重みが刻める。
燻り続ける残り火を胸に、我らは、ただ前へと進み続ける。",【耐久1】カードを3枚引く。,basic,,,,,,
S010,S010,供犠の黒渦螺旋,2,1,destroy,1,enemy_unit_toughest,,,,"禁忌の魔理に則り、選別された命が螺旋の煤となりて天を焼き払う。
地下の静寂を切り裂くのは、呪眼が放つ音なき叫びと、魔的空間の軋み。
儀式は成就し、犠の果てに顕現した黒渦が、既存の法理を上書きする。",【耐久1】最もHPが高い敵ユニット1体を破壊。,basic,,,,,,
S011,S011,偽天の崩落,2,1,destroy,1,enemy_unit_strongest,,,,"見上げていたのは空ではなく、精巧に描かれた偽りの天井。
穿たれた亀裂から、正体不明の蒼白な光が濁流となって注ぎ込む。
閉ざされた箱庭の中で、我らが手にしたのは、残酷なまでの「外」の自由だ。",【耐久1】最もATKが高い敵ユニット1体を破壊。,basic,,,,,,
